Beverage_category,Beverage,Beverage_prep,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Sale Price,Profit,Country
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti Nonfat Milk,280,3,2.0,0.0,10,160,54,2,44,17.0,25%,0%,45%,30%,180,228,61,Japan
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,340,11,6.0,0.2,30,180,53,2,43,17.0,20%,2%,45%,30%,180,358,86,UK
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,290,9,2.5,0.0,0,140,47,4,33,14.0,15%,0%,45%,50%,180,282,80,UK
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Short Nonfat Milk,100,0.1,0.1,0.0,5,70,19,0,18,6.0,10%,0%,20%,0%,75,398,111,Canada
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,130,3.5,1.5,0.1,15,80,18,0,17,6.0,10%,0%,20%,0%,75,210,54,UAE
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,110,2.5,0.3,0.0,0,60,16,1,13,5.0,6%,0%,20%,8%,75,263,65,Australia
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Tall Nonfat Milk,150,0.2,0.1,0.0,5,110,28,0,27,9.0,15%,0%,30%,0%,75,265,91,USA
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,200,5,2.5,0.2,20,125,28,0,27,9.0,15%,0%,30%,0%,75,362,93,Germany
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,160,4,0.5,0.0,0,95,23,1,20,7.0,10%,0%,30%,15%,75,375,90,USA
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande Nonfat Milk,200,0.3,0.2,0.0,5,140,37,0,35,12.0,20%,0%,35%,0%,150,248,69,USA
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,250,6,3.5,0.2,25,150,37,0,35,12.0,20%,2%,35%,0%,150,304,91,Australia
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,210,5,0.5,0.0,0,120,31,1,26,9.0,10%,0%,35%,15%,150,354,85,Japan
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Venti Nonfat Milk,250,0.3,0.2,0.0,10,180,47,0,45,15.0,25%,0%,50%,0%,150,372,97,India
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,320,9,4.5,0.3,35,200,46,0,44,15.0,25%,2%,45%,0%,150,385,116,Germany
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,270,7,1.0,0.0,0,160,39,2,33,12.0,15%,0%,45%,20%,150,386,113,India
Classic Espresso Drinks,Caffè Americano,Short,5,0,0.0,0.0,0,5,1,0,0,0.4,0%,0%,0%,0%,75,259,72,Australia
Classic Espresso Drinks,Caffè Americano,Tall,10,0,0.0,0.0,0,10,2,0,0,1.0,0%,0%,2%,0%,150,251,68,Germany
Classic Espresso Drinks,Caffè Americano,Grande,15,0,0.0,0.0,0,15,3,0,0,1.0,0%,0%,2%,0%,225,366,119,UAE
Classic Espresso Drinks,Caffè Americano,Venti,25,0,0.0,0.0,0,15,4,0,0,1.0,0%,0%,2%,0%,300,231,76,Canada
Classic Espresso Drinks,Cappuccino,Short Nonfat Milk,50,0.1,0.1,0.0,5,60,8,0,7,5.0,8%,0%,15%,0%,75,253,79,Germany
Classic Espresso Drinks,Cappuccino,2% Milk,80,3,1.5,0.1,10,70,8,0,7,5.0,8%,0%,15%,0%,75,346,82,UAE
Classic Espresso Drinks,Cappuccino,Soymilk,50,1.5,0.2,0.0,0,40,4,0,3,3.0,4%,0%,10%,6%,75,371,125,Australia
Classic Espresso Drinks,Cappuccino,Tall Nonfat Milk,60,0.1,0.1,0.0,5,70,9,0,8,6.0,10%,0%,20%,0%,75,322,74,UAE
Classic Espresso Drinks,Cappuccino,2% Milk,90,3.5,1.5,0.1,15,80,9,0,8,6.0,10%,0%,20%,0%,75,344,85,Canada
Classic Espresso Drinks,Cappuccino,Soymilk,70,3,0.4,0.0,0,65,7,1,4,5.0,6%,0%,20%,8%,75,305,81,UK
Classic Espresso Drinks,Cappuccino,Grande Nonfat Milk,80,0.2,0.1,0.0,5,90,12,0,10,8.0,15%,0%,25%,0%,150,379,107,UAE
Classic Espresso Drinks,Cappuccino,2% Milk,120,4,2.0,0.1,15,100,12,0,10,8.0,10%,0%,25%,0%,150,246,82,Australia
Classic Espresso Drinks,Cappuccino,Soymilk,100,3.5,0.4,0.0,0,80,9,1,5,7.0,8%,0%,25%,10%,150,315,89,UK
Classic Espresso Drinks,Cappuccino,Venti Nonfat Milk,110,0.2,0.2,0.0,5,120,16,0,14,10.0,20%,0%,30%,0%,150,350,89,UAE
Classic Espresso Drinks,Cappuccino,2% Milk,150,6,3.0,0.2,25,135,16,0,14,10.0,15%,0%,30%,0%,150,302,76,Germany
Classic Espresso Drinks,Cappuccino,Soymilk,120,4.5,0.5,0.0,0,110,11,1,7,9.0,10%,0%,35%,15%,150,281,87,Canada
Classic Espresso Drinks,Espresso,Solo,5,0,0.0,0.0,0,0,1,0,0,0.4,0%,0%,0%,0%,75,232,80,Canada
Classic Espresso Drinks,Espresso,Doppio,10,0,0.0,0.0,0,1,2,0,0,1.0,0%,0%,0%,0%,150,234,69,India
Classic Espresso Drinks,Skinny Latte (Any Flavour),Short Nonfat Milk,60,0.1,0.1,0.0,5,80,9,0,8,6.0,10%,0%,20%,0%,75,324,93,Japan
Classic Espresso Drinks,Skinny Latte (Any Flavour),Tall Nonfat Milk,100,0.2,0.1,0.0,5,125,14,0,13,9.0,15%,0%,30%,0%,75,283,71,UAE
Classic Espresso Drinks,Skinny Latte (Any Flavour),Grande Nonfat Milk,120,0.3,0.2,0.0,5,160,18,0,16,12.0,20%,0%,35%,0%,150,333,92,UAE
Classic Espresso Drinks,Skinny Latte (Any Flavour),Venti Nonfat Milk,160,0.3,0.2,0.0,10,200,24,0,21,15.0,25%,0%,50%,0%,150,339,114,Canada
Signature Espresso Drinks,Caramel Macchiato,Short Nonfat Milk,100,1,0.5,0.0,5,70,17,0,15,6.0,10%,0%,15%,0%,75,197,58,USA
Signature Espresso Drinks,Caramel Macchiato,2% Milk,120,4,2.0,0.1,15,80,16,0,15,5.0,10%,0%,15%,0%,75,223,75,India
Signature Espresso Drinks,Caramel Macchiato,Soymilk,100,3,1.0,0.0,0,60,14,1,11,4.0,6%,0%,15%,8%,75,219,73,Germany
Signature Espresso Drinks,Caramel Macchiato,Tall Nonfat Milk,140,1,0.5,0.0,5,105,25,0,24,8.0,15%,0%,25%,0%,75,298,87,India
Signature Espresso Drinks,Caramel Macchiato,2% Milk,180,5,3.0,0.1,20,115,25,0,23,8.0,15%,0%,25%,0%,75,372,122,France
Signature Espresso Drinks,Caramel Macchiato,Soymilk,150,4.5,1.0,0.0,0,90,21,1,17,7.0,10%,0%,25%,10%,75,190,64,Germany
Signature Espresso Drinks,Caramel Macchiato,Grande Nonfat Milk,190,1,1.0,0.0,10,130,35,0,32,11.0,20%,0%,35%,0%,150,219,76,UK
Signature Espresso Drinks,Caramel Macchiato,2% Milk,240,7,3.5,0.2,25,150,34,0,32,10.0,15%,2%,30%,0%,150,248,59,UAE
Signature Espresso Drinks,Caramel Macchiato,Soymilk,200,5,1.0,0.0,5,115,29,1,24,9.0,10%,0%,35%,15%,150,252,82,UAE
Signature Espresso Drinks,Caramel Macchiato,Venti Nonfat Milk,240,1,1.0,0.0,10,170,43,0,41,13.0,25%,0%,40%,0%,150,258,71,Japan
Signature Espresso Drinks,Caramel Macchiato,2% Milk,300,8,4.5,0.2,35,180,43,0,40,13.0,20%,2%,40%,0%,150,309,84,Australia
Signature Espresso Drinks,Caramel Macchiato,Soymilk,250,7,1.5,0.0,5,140,36,1,31,11.0,15%,0%,40%,20%,150,350,110,UAE
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Short Nonfat Milk,180,3,2.0,0.0,5,120,31,0,29,7.0,10%,0%,25%,0%,75,246,81,USA
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,200,6,3.5,0.1,15,125,31,0,29,7.0,8%,2%,25%,0%,75,367,91,Australia
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,180,5,2.5,0.0,0,110,28,1,25,6.0,6%,0%,25%,8%,75,270,91,India
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall Nonfat Milk,270,4.5,3.5,0.0,5,190,47,0,45,12.0,15%,2%,35%,0%,75,232,66,Germany
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,310,9,6.0,0.1,20,200,46,0,44,11.0,15%,2%,35%,0%,75,345,99,UK
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,280,8,3.5,0.0,0,170,42,1,39,10.0,10%,2%,35%,10%,75,337,79,France
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande Nonfat Milk,350,6,4.5,0.0,10,240,61,0,58,15.0,20%,2%,45%,2%,150,383,103,UK
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,400,11,7.0,0.2,25,250,61,0,58,15.0,15%,2%,45%,0%,150,320,85,Germany
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,370,10,5.0,0.0,0,220,56,1,51,13.0,10%,2%,45%,15%,150,201,50,France
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti Nonfat Milk,450,7,6.0,0.0,10,310,78,0,74,19.0,25%,2%,60%,2%,150,256,83,UAE
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,510,15,9.0,0.2,35,330,77,0,74,19.0,20%,4%,60%,2%,150,287,84,USA
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,460,13,6.0,0.0,5,290,70,1,64,16.0,15%,2%,60%,20%,150,217,67,Canada
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short Nonfat Milk,130,1.5,1.0,0.0,5,70,26,1,23,7.0,10%,0%,20%,10%,10,255,65,Australia
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,150,4.5,2.5,0.1,15,80,26,1,22,7.0,10%,0%,20%,10%,10,289,77,Germany
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,130,3.5,1.0,0.0,0,60,23,2,18,6.0,6%,0%,20%,20%,10,325,106,Australia
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall Nonfat Milk,190,2,1.0,0.0,5,110,37,1,32,11.0,15%,0%,30%,20%,20,375,103,USA
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,230,7,3.5,0.2,20,120,37,1,32,10.0,15%,0%,30%,20%,20,288,80,UK
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,200,6,1.5,0.0,0,95,32,2,25,9.0,10%,0%,30%,30%,20,200,47,Canada
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande Nonfat Milk,240,2.5,1.5,0.0,5,140,48,2,41,14.0,20%,0%,40%,25%,25,332,88,USA
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,290,9,5.0,0.2,25,160,47,2,41,14.0,20%,2%,40%,25%,25,280,69,France
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,250,7,2.0,0.0,0,125,41,3,32,12.0,15%,0%,40%,40%,25,380,100,UK
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Venti Nonfat Milk,320,3,2.0,0.0,10,180,63,2,55,18.0,25%,0%,50%,30%,30,394,136,Germany
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,380,11,6.0,0.3,35,200,63,2,54,17.0,25%,2%,50%,30%,30,318,87,France
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,330,9,2.5,0.0,0,160,55,4,44,15.0,15%,0%,50%,50%,30,251,75,France
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Short,140,0,0.0,0.0,0,10,35,0,33,0.0,0%,0%,0%,0%,0,250,80,Germany
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Tall,210,0,0.0,0.0,0,15,53,0,49,0.0,0%,0%,0%,0%,0,323,91,Canada
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Grande,280,0,0.0,0.0,0,20,70,0,65,0.0,0%,0%,0%,0%,0,341,106,UK
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Venti,360,0,0.0,0.0,0,25,89,0,83,0.0,0%,0%,0%,0%,0,259,81,UK
Tazo® Tea Drinks,Tazo® Tea,Short,0,0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies,343,119,India
Tazo® Tea Drinks,Tazo® Tea,Tall,0,0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies,223,52,Australia
Tazo® Tea Drinks,Tazo® Tea,Grande,0,0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies,161,41,France
Tazo® Tea Drinks,Tazo® Tea,Venti,0,0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies,317,81,India
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Short Nonfat Milk,100,0.1,0.1,0.0,0,50,22,0,21,4.0,6%,0%,10%,0%,50,317,78,Germany
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,120,2,1.0,0.1,10,55,22,0,21,4.0,6%,0%,10%,0%,50,365,124,Germany
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,110,1.5,0.2,0.0,0,45,20,0,18,3.0,4%,0%,10%,6%,50,277,91,France
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tall Nonfat Milk,160,0.2,0.1,0.0,5,80,34,0,32,6.0,10%,0%,20%,2%,70,359,119,UK
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,190,3.5,1.5,0.1,15,90,34,0,32,6.0,10%,0%,20%,2%,70,397,109,India
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,160,2.5,0.3,0.0,0,70,31,1,28,5.0,6%,0%,20%,10%,70,292,79,Canada
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Grande Nonfat Milk,210,0.2,0.1,0.0,5,105,45,0,43,8.0,15%,0%,25%,2%,95,353,116,India
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,240,4.5,2.0,0.1,20,115,45,0,42,8.0,10%,0%,25%,2%,95,302,92,France
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,220,3.5,0.4,0.0,0,90,41,1,37,6.0,8%,0%,25%,10%,95,355,102,Germany
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Venti Nonfat Milk,260,0.3,0.2,0.0,5,135,57,0,54,10.0,15%,0%,35%,2%,120,325,84,France
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,310,6,3.0,0.2,25,150,56,0,53,10.0,15%,2%,30%,2%,120,387,119,Australia
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,280,4.5,0.5,0.0,0,115,51,1,46,8.0,10%,0%,30%,15%,120,435,136,France
Tazo® Tea Drinks,Tazo® Green Tea Latte,Short Nonfat Milk,130,0.2,0.1,0.0,5,85,26,0,25,7.0,10%,4%,20%,2%,25,401,104,Germany
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,170,4,2.0,0.1,15,95,26,0,25,7.0,10%,6%,20%,2%,25,424,99,Germany
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,140,3,0.4,0.0,0,70,22,1,20,6.0,8%,4%,20%,10%,25,392,117,Germany
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tall Nonfat Milk,210,0.4,0.2,0.0,5,125,42,1,41,11.0,20%,10%,35%,4%,55,455,113,UK
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,260,6,3.0,0.2,25,140,41,1,40,10.0,15%,10%,35%,4%,55,398,108,UK
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,230,4.5,0.5,0.0,0,110,36,2,33,9.0,10%,10%,35%,15%,55,358,110,USA
Tazo® Tea Drinks,Tazo® Green Tea Latte,Grande Nonfat Milk,290,0.5,0.2,0.0,10,160,57,1,56,14.0,25%,15%,45%,4%,80,380,98,USA
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,350,8,4.0,0.2,30,180,57,1,55,14.0,20%,15%,45%,4%,80,341,119,UAE
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,310,6,1.0,0.0,0,140,50,3,46,11.0,15%,15%,45%,25%,80,265,85,Canada
Tazo® Tea Drinks,Tazo® Green Tea Latte,Venti Nonfat Milk,370,0.5,0.3,0.0,10,200,73,2,71,18.0,30%,20%,60%,6%,110,306,71,Germany
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,450,10,5.0,0.3,40,230,72,2,71,17.0,25%,20%,50%,6%,110,432,114,Japan
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,390,8,1.0,0.0,0,180,64,4,58,14.0,20%,20%,60%,30%,110,273,88,USA
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Short Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6%,0%,10%,0.00%,varies,278,95,Canada
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,90,2,1.0,0.1,10,50,15,0,15,3.0,6%,0%,10%,0.00%,varies,293,102,Japan
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,80,1.5,0.2,0.0,0,40,14,0,13,3.0,4%,0%,10%,6.00%,varies,394,121,UK
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Tall Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10%,0%,20%,0.00%,varies,365,97,India
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,140,3,1.5,0.1,15,75,23,0,23,5.0,8%,0%,15%,0.00%,varies,432,102,Germany
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,130,2.5,0.3,0.0,0,60,21,1,19,4.0,6%,0%,20%,8.00%,varies,296,79,France
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Grande Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15%,0%,25%,0.00%,varies,451,151,UAE
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,190,4,2.0,0.1,15,95,31,0,30,7.0,10%,0%,25%,0.00%,varies,451,129,Australia
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,170,3.5,0.4,0.0,0,80,27,1,25,6.0,8%,0%,25%,10.00%,varies,420,110,UAE
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Venti Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15%,0%,30%,0.00%,varies,260,91,Canada
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,230,5,2.5,0.2,20,125,38,0,38,9.0,15%,0%,30%,0.00%,varies,378,114,Australia
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,210,4,0.5,0.0,0,100,34,1,32,7.0,10%,0%,30%,15.00%,varies,362,120,USA
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Short Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6%,0%,10%,0%,0,283,77,USA
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,90,2,1.0,0.1,10,50,15,0,15,3.0,6%,0%,10%,0%,0,406,110,UK
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,80,1.5,0.2,0.0,0,40,14,0,13,3.0,4%,0%,10%,6%,0,417,113,India
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10%,0%,20%,0%,0,250,77,USA
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,140,3,1.5,0.1,15,75,23,0,23,5.0,8%,0%,15%,0%,0,285,66,Germany
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,130,2.5,0.3,0.0,0,60,21,1,19,4.0,6%,0%,20%,8%,0,439,145,Australia
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15%,0%,25%,0%,0,434,117,UAE
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,190,4,2.0,0.1,15,95,31,0,30,7.0,10%,0%,25%,0%,0,417,105,India
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,170,3.5,0.4,0.0,0,80,27,1,25,6.0,8%,0%,25%,10%,0,362,126,Canada
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15%,0%,30%,0%,0,291,87,France
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,230,5,2.5,0.2,20,125,38,0,38,9.0,15%,0%,30%,0%,0,418,134,India
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,210,4,0.5,0.0,0,100,34,1,32,7.0,10%,0%,30%,15%,0,291,77,Canada
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Tall,60,0,0.0,0.0,0,4,15,0,15,0.2,0%,0%,0%,0%,120,290,84,Australia
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,90,0.1,0.0,0.0,0,5,21,0,21,0.3,0%,0%,0%,0%,165,286,92,Germany
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Venti,130,0.1,0.0,0.0,0,5,31,0,31,0.4,0%,0%,0%,0%,235,454,156,UK
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall Nonfat Milk,80,0.1,0.0,0.0,0,25,18,0,18,2.0,2%,0%,6%,0%,90,325,86,Germany
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,90,1,0.5,0.0,5,25,18,0,18,2.0,2%,0%,6%,0.00%,,305,103,USA
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,80,1,0.1,0.0,0,20,17,0,17,2.0,2%,0%,6%,0%,90,357,103,India
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande Nonfat Milk,110,0.1,0.0,0.0,0,30,24,0,24,2.0,4%,0%,8%,2%,90,307,88,India
